Sr No,Subsidy scheme,Scheme Type,Ministry,Description,Visiting link to know more,Applicability Central/State
15,In-situ Upgradation of Plain Power looms,All,"Government of India, Ministry of Textiles (MoT)","Scheme summary/key features:
                                    The prime objective of the scheme is to upgrade existing plain looms to semi-automatic/shuttle-less looms to improve quality and productivity of the fabric being produced by way of fixing certain additional attachments/kits and enable them to face the competition in domestic and international markets, by way of providing financial assistance to economically weaker low-end power loom units.  The scheme came into operation from 1st April 2017 and will be up to 31st March 2020.
 Eligibility: 
                                    A Power loom unit having power loom permit / Acknowledgement against Information Memorandum issued by Regional Office of the Textile Commissioner for installation of the Power looms (or) SSI registration (or) Udyog Aadhar Memorandum (or) Electricity bill for the unit address/name of the owner are provided, is eligible for assistance under the scheme.
                                    Power loom unit having a maximum 08 (eight) existing plain power looms, as per Power loom Permit / Acknowledgement are only eligible for availing the benefit under the scheme. Priority would be given to units having less than 4 looms.
                                    A unit should have electricity bill in its name or in the name of the owner of the unit or if the premises is on rental basis necessary power sharing agreement between lessor and lessee.
Amount or percentage of subsidy:
                                    The applicant will be eligible for
                                    •	For in-situ up-gradation of subsidy: the existing plain power looms to Semi- automatic shuttle looms/attachment of dobby, jacquard/pirn winding machine.
                                    •	For in-situ up-gradation of existing upgraded semi -automatic shuttle looms to shuttle-less rapier looms and
                                    •	For in-situ up-gradation of existing plain power looms directly to shuttler-less rapier looms


 Category
Percentage of subsidy
Maximum subsidy Amount per loom (in Rs.)




Plain power loom to semiautomatic shuttle loom/ attachments of dobby, jacquard/ pirn winding machine (up gradation without rapier kit)
Semi -automatic shuttle loom to shuttle -less rapier loom (Attachment of only Rapier Kit)	
Plain power loom to shuttler-less rapier loom/Kits Attachments (Upgradation with Rapier kit)


General
50.00%
20000
25000
45000


SC
75.00%	
30000	
37500	
67500



                                                ST
                                            
90.00%	

                                                36000
                                            

                                                45000
                                            

                                                81000
                                            

 
                                    The detailed bifurcation of the subsidy shall be as shown in the table given below
                                        




                                                        For In-situ Upgradation
                                                    

                                                        Attachments/kit attached
                                                    

                                                        Category
                                                    

                                                        Maximum GOI subsidy/ loom
                                                    



(a)	From existing plain Power looms to Semi- automatic shuttle looms/attachments of dobby, jacquard/pirn winding machine

                                                    i) Weft stop motion
                                                    (ii) Warp stop motion
                                                    (iii)Efficient braking device
                                                    (iv)Semi positive let off motion
                                                    (v) Dobby
                                                    (vi) Jacquard,
                                                    Self- lubricating nylon parts
                                                    (viii) Anti crack device
                                                    (ix) Pirn winding machine.
                                                
General
Rs.20,000


SC
Rs.30,000


ST
Rs.36,000


(b) From existing upgraded semi -automatic shuttle looms already upgraded under In-Situ to shuttle-less rapier looms (excluding attachments at (a)above)
Attachment of rapier kit for power looms
General
Rs.25,000


SC
Rs.37,000


ST
Rs.45,000

I From existing plain power looms directly to shuttle less rapier looms (including attachments of kits at (a) & (b)).

                                                    (i) Weft stop motion, Warp stop motion, Efficient braking device, semi positive let off motion, Dobby, Jacquard, Self- lubricating nylon parts, anti -crack device.
                                                    (ii) Rapier kit
                                                
GeneralRs.45,000
 SCRs.67,500 

STRs.81,000","http://texmin.nic.in/schemes
 https://ipowertexindia.gov.in/in-situ-upgradation-of-plain-powerlooms.htm",Central
16,Group Work shed Scheme (GWS),All,"Government of India, Ministry of Textiles (MoT)","Scheme summary/key features:
                                    The Government of India has implemented the Group Work shed Scheme to simplify the establishment of work sheds in a new cluster or upgrade an existing cluster.  The scheme is operative from 1st April, 2017 and would be for a duration up to 31 March, 2020.  According to Group Work shed Scheme, only 40% of the loomage would be accepted under weaving preparatory like Sectional warping machine, Sizing machine, etc.
                                    This 40% loomage will also comprise of areas for common facilities such as sample display room, testing lab, office and worker’s Amenities.
                                    The beneficiary is permitted to avail infrastructure benefits like:
                                    o	Internal Road can be laid to the extent of up to 10% of the expenditure provided.
                                    o	A total number of four sheds or more will be provided, and a minimum of one of these sheds will be proposed for the house of weavers with or without power looms.
                                    The beneficiaries are not generally eligible for any infrastructure benefits under other schemes of Ministry of Textiles apart from the Group Work shed Scheme.
 Eligibility: 
                                    The beneficiaries eligible to apply for this Scheme includes Weavers and Entrepreneurs associated with power-looms units, including master weavers, registered co-operative societies of power-loom weavers or any new entrepreneurs individually or in a group.
                                    A group of individuals applying towards claiming benefits under Group Work shed Scheme should consist of a minimum of four weavers or entrepreneurs having a separate legal entity.
                                    Inside the Work shed either 48 modern looms (automatic/ single width shuttle-less looms) or 24 wider-width shuttle-less looms with four persons in a group are to be installed.
                                    Each beneficiary should have at least four looms.
                                    Only machinery which are TUFS (Technology Up-gradation Fund Scheme) compatible can be installed.
Amount or percentage of subsidy:
                                    The Group Work shed Scheme also provides its beneficiaries with land and construction cost at Subsidized prices. This is depicted in the table shown below:


S. No
Category
Eligible Subsidy on per unit cost of construction
Capital amount on Subsidy given per Sq. Ft


1
General
40%
INR 400


2
SC
75%
INR 750


3
ST
90%
INR 900","http://texmin.nic.in/schemes
http://texmin.nic.in/sites/default/files/PowerTex%20India%20Brochure%20English.pdf",Central
17,Yarn Bank Scheme,All,"Ministry of Textiles Govt, of India","Scheme summary/key features:
                                        To provide interest free corpus fund to Special Purpose Vehicle (SPV) / Consortium to enable them to purchase yarn at wholesale rate and give the yarn at reasonable price to the small weavers.
                                            To avoid middle man/ local supplier’s brokerage charge on sales of yarn.
 Eligibility: 
                                                    Minimum 11 members required to form Special Purpose Vehicle (SPV).
                                                        The Members of SPV should be Power loom Weavers, Master Weavers, Co-operative Societies, Private Entrepreneurs, NGO’s working for Power loom Sector.
                                                            SPV has to provide Bank Guarantee to the extent of 25% of Govt. of India share.
                                                                SPV shall arrange their own fund equal to Government contribution.
                                                                    SPV shall rotate the corpus fund including their contribution at least 4 – 5 times in a year.
Amount or percentage of subsidy:  Government shall provide interest free corpus fund of maximum Rs 200 Lakh per yarn bank to SPV/Consortium.",https://ipowertexindia.gov.in/yarn-bank-scheme.htm,Central
18,Common Facility Centre (CFC),All,"Government of India, Ministry of Textiles (MoT","Scheme summary/key features:
                                        The scheme is operative from 1st April, 2017 and would be for a duration up to 31 March, 2020.The Under Comprehensive Scheme for Power loom Sector Development one of the scheme is Common Facility Centre (CFC) and the objective of this scheme is to provide financial assistance for setting-up of Common Facility Centres such as design centre / studio, testing facilities, training centre, information cum trade centre and common raw material / yarn / sales depot, water treatment plant for industrial use, dormitory, workers’ residential space, common pre-weaving facilities viz. yarn dyeing, warping & sizing, twisting etc., and post weaving facilities viz. processing, etc.
 Eligibility: 
                                                Minimum 11 members required to form Special Purpose Vehicle (SPV).
                                                    The Members of SPV should be Power loom Weavers, Master Weavers, Co-operative Societies, Private Entrepreneurs, NGO’s working for Power loom Sector.
                                                    SPV shall have Own Land/Building (or) Leased Land/Building registered in favour of SPV for minimum period of 10 Years. Only TUFS compatible machineries to be installed.
Amount or percentage of subsidy:
                                                            Government shall provide subsidy of maximum Rs 200 Lakh per CFC


 S. No.
Cluster Grade
Maximum Financial Assistance on Project Cost


1
A
60%


2
B
70%


3
C
80%


4
D & Clusters in NER/J&K	
90%",http://texmin.nic.in/sites/default/files/PowerTex%20India%20Brochure%20English.pdf,Central
19,Pradhan Mantri Credit scheme for Power loom Weavers,All,"Government of India, Ministry of Textiles (MoT)","Scheme summary/key features:
                                        The scheme is operative from 1st April, 2017 and would be for a duration up to 31 March, 2020The Scheme was launched to support the establishment of power loom units across the country. Through this scheme, financial assistance will be provided to decentralized power loom units or weavers. To provide financial assistance through Margin Money Subsidy and interest reimbursement as against the credit facility (term loan) availed under Pradhan Mantri Mudra Yojana (PMMY) to the decentralised power loom units/weavers.
                                            Margin Money Subsidy as against the credit facility (term loan) availed under Stand-up India scheme by the SC, ST & Women Entrepreneur of the decentralised power looms units/weavers to meet their credit requirements such as for investment needs (Term Loan) and working capital etc.
 Eligibility: 
                                                    Existing individual power loom units (or) New individual / group enterprises involved in weaving activity.
Amount or percentage of subsidy:
                                                            Under this scheme, the Central Government will provide margin money subsidy of up to twenty per cent of the project cost with a cover of Rs 1,00,000 as well as interest subsidy at 6% per cent per annum for working capital, and a term loan of up to Rs 10,00,000 for a maximum period of five years.",http://texmin.nic.in/sites/default/files/PowerTex%20India%20Brochure%20English.pdf,Central
20,Solar Energy Scheme for Power looms,All,"Government of India, Ministry of Textiles (MoT)","Scheme summary/key features:
                                        To provide financial assistance/capital subsidy for installation of On Grid Solar Photo Voltaic Plant (without Battery back -up) and Off Grid Solar Photo Voltaic Plant (with Battery back-up) by small power loom units to attain sustainable development goal of Government and to give thrust to renewable energy.
 Eligibility: 
                                                Power loom units having up to 8 Looms.
                                                    Power loom permit / Acknowledgment issued by the concerned Regional Office of the Textile Commissioner.
                                                        Units should have shade free roof top/ area.
Amount or percentage of subsidy:
                                                                The subsidy will be provided to both credit-linked and non-credit linked solar projects. The subsidy will be released only for the installation of a solar project for running power loom units and not for individual components


 No. of Looms(Solar Capacity)

                                                                                Maximum cost of Equipment and
                                                                                component eligible for subsidy
                                                                            

                                                                                Maximum Subsidy in Rupees
                                                                            


General (50%)
SC (75%)
ST (90%)

   A) On Grid Power Plant     

4 Looms (4 KW)
Rs. 2,80,000
Rs. 1,40,000
Rs. 2,10,000
Rs. 2,52,000


6 Looms (6 KW)
Rs. 4,20,000
Rs. 2,10,000
Rs. 3,15,000
Rs. 3,78,000


8 Looms (8 KW)
Rs. 5,60,000
Rs. 2,80,000
Rs. 4,20,500
Rs. 5,04,000

   B) Off Grid Power Plant   

4 Looms (4 KW)
Rs. 3,60,000
Rs. 1,80,000
Rs. 2,70,500
Rs. 3,24,000


6 Looms (6 KW)
Rs. 5,40,000
Rs. 2,70,000
Rs. 4,05,500
Rs. 4,86,000


8 Looms (8 KW)
Rs. 7,20,000
Rs. 3,60,000
Rs. 5,40,000
Rs. 6,48,000",http://texmin.nic.in/sites/default/files/PowerTex%20India%20Brochure%20English.pdf,Central
21,Grant-in-Aid and Modernisation & Upgradation of Power loom Service Centres (PSCs,All,"Government of India, Ministry of Textiles (MoT)","Scheme summary/key features:
                                        A comprehensive scheme is launched as the Comprehensive Scheme for Power loom Sector Development and the same came into effect on 1st April, 2017 and would be for a duration up to 31 March, 2020. 15 Power loom Service Centres under Office of the Textile Commissioner (Tx.C), 26 Textile Research Associations (TRAs) and 6 State Govt. offer various services like training, sample testing, design development, consultancy, conducting seminar/ workshop, etc. to the power loom sector on behalf of the Government.

                                            The Govt. assistance will be provided for modernization and upgrading the Power loom Service Centres with the facilities which are required in the cluster. This would include improving testing facilities and also installing modern looms to create awareness of the latest available technologies and provide training. Further, the Power loom Service Centres would also be provided with Preparatory machines, testing instruments, Sewing machines for Garment and Apparel, Embroidery Machines, Design Development facilities etc.
 Eligibility: 
                                                    Power loom service centres
Amount or percentage of subsidy:
                                                            Grant-in-Aid (GIA) is provided to the PSCs of TRAs/ State Govt. agencies for the recurring expenses for running the PSCs",http://texmin.nic.in/sites/default/files/PowerTex%20India%20Brochure%20English.pdf,Central
22,Modified Comprehensive Power Loom Cluster Development Scheme (MCPCDS,All,"Government of India, Ministry of Textiles (MoT)","Scheme summary/key features:
                                        Comprehensive Power loom Cluster Development Scheme (MCPCDS) was established to develop Erode (Tamil Nadu) and Bhiwandi (Maharashtra) as Power loom Mega Clusters. This helps in creating world-class infrastructure to integrate the production chain and to reach the fulfilment of business needs of the local and Small and Medium Enterprises (SMEs).  The scheme intends to enhance the existing brownfield clusters that require a gap filling exercise for each cluster to identify the need-based infrastructure that has to be funded.
                                            Develop clusters that have a concentration of about 5000 decentralized Power looms or more by assistance for infrastructure, common facilities and other need-based innovations, technology upgradation and skill development.
 Eligibility: 
                                                    Common Facility Centres (CFCs) for pre and post weaving process, Mini-Industrial Parks with Work sheds supported by Core Infrastructure, Innovative Ideas and other need-based interventions.
Amount or percentage of subsidy:
                                                            Matching investment in the ratio of Government (60): Private (40).
                                                                Government of India provides subsidy of 60% of the project cost with maximum ceiling up to Rs 50 crore.",http://texmin.nic.in/sites/default/files/PowerTex%20India%20Brochure%20English.pdf,Central
23,"Integrated Processing Development
                                    Scheme (IPDS)",All,"Government of India, Ministry of Textiles (MoT)","Scheme summary/key features:
                                    This scheme is designed to counter challenges such as non-availability of water for processing and environmental pollution caused by the discharge of untreated effluents. Considering the widespread prevalence of small and medium enterprises in this sector, IPDS will develop parks with common facilities such as effluent treatment plants and water supply systems that can be used by clusters of processing units. The focus areas are: Adequate and timely supply of water, Wastewater management and Safe treatment of effluents before disposal
 Eligibility: 
                                    The eligible projects under the scheme would cover the following:
                                    (I) Common Effluent Treatment Plant (CETP),
                                    (ii) Captive power generation on technology preferably renewable/green technology,
                                    (iii) Infrastructure such as storm water management, necessary roads and pipelines for water & wastewater and
                                    (iv) Facility for testing and R&D centres.
Amount or percentage of subsidy:
                                    The project cost shall be borne by the Centre, State, Beneficiary, Bank loan in the ratio of 50:25:15:10 respectively. The release will be made as per the following:
                                    Beneficiary contribution through equity of 15 percent of project cost shall be brought up front
                                    •	10 percent funding to be arranged through Bank Loans 25 percent contribution of State Government at the time of release of 2nd instalment of GOI Grant released.
                                    •	The GOI grant (50% of the total Project cost) shall be released in 3 instalments –
                                    •	50 percent of the GOI grant to be released initially after beneficiary contribution (1st instalment)
                                    •	30 percent of the GOI grant once the plant is operational (2nd instalment)
                                    •	20 percent GOI grant once the plant has been run for 3 years (3rd instalment)",http://www.texmin.nic.in/sites/default/files/GUIDELINES_FOR_IPDS.pdf,Central
24,SAMPADA (Scheme for Agro-Marine Processing and Development of Agro Processing Clusters),All,"Government of India, Ministry of Food Processing Industries (MoFPI","Scheme summary/key features:
                                        Central Sector Scheme – SAMPADA (Scheme for Agro-Marine Processing and Development of Agro-Processing Clusters) was approved by the Cabinet Committee on Economic Affairs (CCEA) in 2017. This umbrella scheme has now been renamed as the “Pradhan Mantri Kisan Sampada Yojana (PMKSY).  PM Kisan SAMPADA Yojana is a comprehensive package which will result in creation of modern infrastructure with efficient supply chain management from farm gate to retail outlet. It will not only provide a big boost to the growth of food processing sector in the country but also help in providing better returns to farmers and is a big step towards doubling of farmers income, creating huge employment opportunities especially in the rural areas, reducing wastage of agricultural produce, increasing the processing level and enhancing the export of the processed foods. The following schemes will be implemented under PM Kisan SAMPADA Yojana:
                                            1.Mega Food Parks
                                            2.Integrated cold chain and value-added infrastructure
                                             3.Creation/expansion of food processing
                                              4.Infrastructure for Agro processing clusters
                                               5.Creation of backward and forward linkages
                                             6.Food safety and quality assurance infrastructure
                              7.Human resources and institutions
Amount or percentage of subsidy:
                                The pattern of assistance can be seen under each scheme mentioned in the scheme guidelines",https://mofpi.nic.in/sites/default/files/important_notice-sampada-19.05.2017.pdf,Central
25,Market Development Assistance Scheme for Micro/ Small manufacturing enterprises/ Small & Micro exporters (SSI-MDA),All,"Government of India, Ministry of Micro, Small & Medium Enterprises (MSME","Scheme summary/key features:
                                        The scheme was launched to encourage Small & Micro exporters in their efforts at tapping and developing overseas markets.
                                            (ii) To increase participation of representatives of small/ micro manufacturing enterprises under MSME India stall at International Trade Fairs/ Exhibitions.
                                                (iii) To enhance export from the small/ micro manufacturing enterprises (iv) To popularise the adoption of Bar Coding on a large scale.
 Eligibility: 
                                                        Unit having valid permanent registration with Directorate of Industries/ District Industries Centre,
Amount or percentage of subsidy:
                                                                1) Participation by manufacturing Small & Micro Enterprises in International Trade Fairs/ Exhibitions under MSME India stall- up to 75% in respect of to and fro air fare for participation by MSME Entrepreneurs in overseas fairs/trade delegations
                                                                    2)      Sector specific market studies by Industry Associations/ Export Promotion Councils/ Federation of Indian Export Organization- funding for producing publicity material (up to 25% of costs) Sector specific studies (up to Rs. 2 lakhs)
                                                                        3)      Initiating/ contesting anti‐dumping cases by SSI Associations- 50% up to INR 1 lakh
                                                                            4)      Reimbursement of 75% of one-time registration fee (w.e.f. 1st. Januar2002) (Under MDA Scheme) and 75% of annual fees (recurring) (w.e.f. Ist June 2007) (Under NMCP Scheme) paid to GSI (Formerly EAN India) by Small & Micro units for the first three years for bar code.",https://msmedildh.gov.in/MDA.pdf,Central
26,Micro & Small Enterprises – Cluster Development Programme (MSE-CDP,All,"Government of India, Ministry of Micro, Small & Medium Enterprises (MSME)","Scheme summary/key features:
                                        e.	To support the sustainability and growth of MSEs by addressing common issues such as improvement of technology, skills and quality, market access, access to capital, etc.
                                            ii) To build capacity of MSEs for common supportive action through formation of self- help groups, consortia, upgradation of associations, etc.
                                                (iii) To create/upgrade infrastructural facilities in the ne/existing industrial areas/ clusters of MSEs, including setting up of Flatted Factory Complexes.
                                                    (iv) To set up common facility centres (for testing, training centre, raw material depot, effluent treatment, complementing production processes, etc.)
 Eligibility: 
                                                            The projects sanctioned under erstwhile SICDP (renamed MSE-CDP) and Integrated Infrastructural Development (IID) schemes will also be eligible for financial support issued under the scheme as per earlier approvals.
Amount or percentage of subsidy:
                                                                    The financial assistances for various interventions are: - (i) Preparation of Diagnostic Study Report with Government of India (GoI) grant of maximum Rs 2.50 lakh. For the field organizations (MSME-Dis) of the Ministry of MSME, this
                                                                    will be Rs 1.00 lakh.
                                                                        (ii) Soft Interventions with GoI grant of 75% of the sanctioned amount of the maximum project cost of Rs 25.00 lakh per cluster. For NE & Hill States, Clusters with more than 50% (a) micro/ village (b) women owned (c) SC/ST units, the GoI grant will be 90%.
                                                                            (iii) Detailed Project Report (DPR) with GoI grant of maximum Rs 5.00 lakh for preparation of a technical feasibility and viability project report.
                                                                            (iv) Hard Interventions in the form of tangible assets like Common Facility Centre having machinery and equipment for critical processes, research and development, testing, etc. with GoI grant up to 70% of the cost of project of maximum Rs 15.00 crore. For NE & Hill States, Clusters with more than 50% (a) micro/ village (b) women owned (c) SC/ST units, the GoI grant will be 90%.
                                                                                (v) Infrastructure Development with GoI grant up to 60% of the cost of project of Rs 10.00 crore, excluding cost of land. GoI grant will be 80% for projects in NE & Hill States, industrial areas/ estates with more than 50% (a) micro (b) women owned (c) SC/ST units.","https://msme.gov.in/sites/default/files/ModifiedGuidelinesofMSE_0.pdf
  http://laghu-udyog.gov.in/MSE-CDProg.htm",Central
27,Digital MSME” Scheme for promotion of Information and Communication Technology (ICT) in MSME Sector,All,"Government of India DC(MSME), Ministry of Micro, Small & Medium Enterprises.","Scheme summary/key features:
                                        The main objective of scheme is to make MSMEs digitally empowered and motivate them to adopt ICT tools and applications in their production & business processes with a view to improve their competitiveness in national and international mark.
                                            Besides this, it aims to empower and enable MSMEs to harness IT as a medium of communication to revamp access to the markets to update their managerial and technical knowledge though online content-both static and dynamic and to evolve internal efficiencies by way of intense ICT intake and automating procedure for cost reduction and capacity enhancement for information access, processing, collaboration and dissemination.
                                                The Ministry of Micro, Small and Medium Enterprises (MSME) has released new guidelines for the “Digital MSME” Scheme for promotion of Information & Communication Technology in MSME Sector.
                                                This scheme is a component of Credit Linked Capital Subsidy Scheme for Technology Up-gradation (CLCS- TU)
                                                According to the new guidelines, the main components of the scheme would include Awareness Program and Work Shop, Development of e-Platform, Development of software/Apps for MSMEs, Digital Literacy and e-marketing, Training to MSME officials, MSMEs, Professionals etc., Digital Empowerment through Enterprise Development Centre (EDC), Assistance for IT infrastructure to various Implementing Agencies (IA) up to Rs.10 lakhs per IA, Futuristic developments, Publicity, Branding and Mobilization, impact Assessment and Survey including Data Analytics and Miscellaneous Expenses.
 Eligibility: 
                                                        1.	Udyog Aadhar memorandum number
                                                            2.	MSME must pay for the services provided
                                                                3.	Selection will be based on first come first serve plan
                                                                    4.	Financial stability, Product ability, export, the scope for advancement shall be considered.
Amount or percentage of subsidy:
                                                                            1.	Awareness activities and workshops
                                                                                2.	Could Computing- this service will be provided in three layers
                                                                                    •	With subsidy- Maximum of Rs 1 lakh for 2 years
                                                                                        •	Without subsidy- services from the cloud at very low cost
                                                                                            •	Market cost- No exceptions
                                                                                                •	Publicity, Branding, mobilization, Assorted expenses
                                                                                                    1.	Development of e- platform, software apps, assistance through IT infrastructure
                                                                                                        2.	Enterprise Facilitation centres for enabling digitization.
                                                                                                            Working of the Digital MSME Scheme","http://msme-tc-nr.gov.in/Digital_MSME_of.pdf

                                        https://knnindia.co.in/news/newsdetails/msme/min-of-msme-releases-new-guidelines-for-digital-msme-scheme-for-promotion-of-ict",Central
28,Support for Entrepreneurial and Managerial Development of SMEs Through Incubators,All,"Government of India, Ministry of Micro, Small and Medium Enterprises","Scheme summary/key features:
                                        There are multiple objectives of the scheme, some of which are:
                                            •	To promote emerging technological and knowledge based innovative ventures that seek the nurturing of ideas from professionals.
                                                •	To promote and support untapped creativity of individual innovators and also to assist individual innovators to become technology-based entrepreneurs.
                                                    •	To promote networking and forging of linkages with other constituents of the innovation chain for commercialization of their developments.
 Eligibility: 
                                                            Any individual or MSME with innovative ideas ready for commercialisation can apply to the host institution (e.g., IITs, NITs, technical colleges, research institutes, etc.) in order to obtain fund support. See the list of host institutions at following web address: http://www.dcmsme.gov.in/schemes/Institutions_Detail.pdf

                                                            Any technical institution (as given in the EoI) that wants to become a host institution can apply to the office of the Development Commissioner-MSME or their nearest MSME-DI for funding support.
Amount or percentage of subsidy:
                                                                    Funding support for setting up of ‘Business Incubators (BI)’: The cost may vary from Rs 4 to 8 lakh for each   pprox. /idea, subject to overall ceiling of Rs 62.5 lakh for each BI.

                                                                        a) Upgradation of infrastructure Rs 2.50 lakh

                                                                            b) Orientation/training Rs 1.28 lakh

                                                                                c) Administrative expenses Rs 0.22 lakh

                                                                                    Total assistance per BI Rs 66.50 lakh
                                                                                    Around 10 ideas will be incubated by the BI",https://www.startupindia.gov.in/content/sih/en/government-schemes/entrepreneurial_managerial_development.html,Central
29,Financial Support to MSMEs in ZED Certification Scheme,All,"Government of India, Ministry of Micro, Small and Medium Enterprises","Scheme summary/key features:
                                        The scheme envisages promotion of Zero Defect and Zero Effect (ZED) manufacturing amongst MSMEs and ZED Assessment for their certification so as to:
                                            •	Develop an Ecosystem for Zero Defect Manufacturing in MSMEs.
                                                •	Promote adaptation of Quality tools/systems and Energy Efficient manufacturing.
                                                    •	Enable MSMEs for manufacturing of quality products.
                                                        •	Encourage MSMEs to constantly upgrade their quality standards in products and processes.
                                                            •	Drive manufacturing with adoption of Zero-Defect production processes and without impacting the environment.
                                                                •	Support ‘Make in India’ campaign.
                                                                    •	Develop professionals in the area of ZED manufacturing and certification.
 Eligibility: 
                                                                            The Scheme is open to all Micro, Small and Medium Manufacturing Enterprises throughout the country. The units should be registered with Ministry of MSME (Udyog Aadhar Memorandum), DIC (EM-II) or with any other agency (Industry Association and Govt agency).
Amount or percentage of subsidy:
                                                                                    Financial assistance will be provided to the MSMEs in obtaining a ZED certification.
                                                                                        The subsidy provided by the Government of India for Micro, Small & Medium Enterprises will be 80%, 60% and 50% respectively. There shall be an additional subsidy of 5% for MSMEs owned SC/ST/women and MSMEs located in NER and J&K for assessment & rating/re-rating/gap analysis/hand holding:

                                                                                            a) Assessment/Rating by empanelled Credit Rating Agencies/other Agencies valid for 4 years (Ministry of MSME will subsidize* 80% of Micro, 60% of Small, 50% of Medium Enterprises’ Certification Fee: average 70% of Fee) (Assessment Fee Rs. 10,000/-& Rs 80,000/- per enterprise respectively for Desktop Assessment and ZED rating Complete Assessment).

                                                                                                b) Additional rating for Defence angle i.e. Defence ZED by empanelled Credit Rating Agencies/other Agencies valid for 4 years (Ministry of MSME will subsidize* 80% of Micro, 60% of Small, 50% of Medium Enterprises’ Certification Fee: average 70% of Fee) (Assessment Fee Rs. 40,000/- per enterprise.)

                                                                                                    c) Gap Analysis, Handholding, Consultancy for improving rating of MSMEs by Consultants through QCI/NPC, Field formations of O/o DC-MSME viz. MSME-DI, MSME-TC including its autonomous bodies, BEE etc. (Ministry of MSME will subsidize* 80% of Micro, 60% of Small, 50% of Medium Enterprises’ Consultancy charges: average 70% of Fee) (Hand holding charges Rs. 1.9 Lakh per enterprise whereas in case of MSMEs owned by SC/ST entrepreneurs additional support of Rs 10,000/- will be provided.)

                                                                                                        d) Re-Assessment/Re-Rating by Credit Rating Agencies & Other Agencies (Ministry of MSME will subsidize* 80% of Micro, 60% of Small, 50% of Medium Enterprises’ Certification Fee: average 70% of Fee) (Assessment Fee Rs. 40000/- per enterprise.).",https://msme.gov.in/3-technology-upgradation-and-quality-certification,Central
30,Design Clinic for Design Expertise to MSMEs,All,"Government of India, Ministry of Micro, Small and Medium Enterprises","Scheme summary/key features:
                                    Objectives of the scheme
                                    Design Clinic Scheme for Design Expertise to MSME manufacturing sector.
                                    • To create a sustainable design eco system for the MSME sector through continuous learning and skill development
                                    • Bring the industrial design fraternity closer to the MSME Sector
                                    • Develop an institutional base for the industry’s design requirement;
                                    • Increase the awareness of the value of design and establish design learning in the MSME
                                    • Increase the competitiveness of local products and services through design.

 Eligibility: 
                                    All MSMEs with EM registration.

                                    Amount or percentage of subsidy:
                                    Design Workshop
                                    • Total time allocated for each workshop is 3 – 5 days.
                                    • One day will be spent in visiting Cluster & understanding issues concerned with cluster. Thereafter there will be training on design clinic solution delivered by an expert or a group of experts in an interactive manner. (GOI contribution Rs. 3.75 lakh per programme).
                                    ii. Design Projects – Professional Design Projects & Students Design Projects
                                    Professional Design:
                                    To facilitate MSMEs to develop new Design strategies and or design related products and services through project interventions and consultancy. (GoI contribution @ 75% for micro, 60% for SMEs for the project range Rs. 15 lakh to Rs. 40 lakh.)
                                    Students Design Projects:
                                    Students in the final year under UG/PG programmes from institutions recognized by design clinic centre are eligible under this activity for the project work done for respective MSMEs. (GOI contribution @ 75% for the project cost of Rs. 2 lakh)","https://msme.gov.in/design-clinic#:~:text=Design%20Clinic%20Scheme%20for%20Design%20Expertise%20to%20MSME%20manufacturing%20sector.&text=Increase%20the%20competitiveness%20of%20local%20products%20and%20services%20through%20design.&text=Applicability%20of%20project%20funding%20is,group%20of%20MSMEs%20coming%20together.&text=Implemented%20through%20National%20Institute%20of%20Design%20(DIPP%20Institution).",Central
31,Enabling Manufacturing Sector to be Competitive through QMS&QTT,All,"Government of India, Ministry of Micro, Small and Medium Enterprises","Scheme summary/key features:
                                    This scheme envisages Micro and Small Enterprises to understand and adopt the latest Quality Management Standards (QMS) and Quality Technology Tools (QTTs) to become more competitive and produce better quality products at competitive prices. The adoption of these features will enable MSEs to achieve the following:
                                    •	Efficient use of resources
                                    •	Improvement in product qualities
                                    •	Reduction in rejection and rework of manufacturing
                                    •	Reduction in building up the inventory at the various stages in the form of raw materials, finished components, work-in-progress and finished products
                                    •	This will also enable the MSE enterprises to enter into or strengthen their position in the export market.
                                    •	The Competition Watch sub-component of this QMS/QTT scheme will enable Indian MSE organisations to understand the foreign products that are penetrating in Indian markets.

 Eligibility:  
                                    Micro & Small enterprises having Entrepreneurs Memorandum and considered eligible to take benefit under the QMS/QTT Scheme The individual units (preferably from specific products in groups) will be considered under the MSME QMS/QTT Scheme. Micro and small enterprises will be selected from the clusters under study or intervention by this Ministry and clusters identified by the Organizations and Ministries

Amount or percentage of subsidy:
                                    GoI contribution of Rs.2.5 lakh for professional study on threatened products.
                                    GoI contribution of Rs.7.5 lakh for technical exposure visit
                                    GoI contribution of Rs.2.5 lakh for procurement of samples
                                    GoI contribution of Rs.5 lakh for product development
                                    GoI contribution of Rs.1.5 lakh for popularisation of improved products
                                    •	GoI contribution of Rs.2.5 lakh/unit for covering the costs of diagnostic study and for implementation of Quality Technology Tools/Quality Management Standards (25 to 50% cost will be paid by the participating units)
                                    •	GoI contribution of Rs.2.5 lakh per SME for international visit (25% and 50% cost to be collected by the micro and small enterprise respectively)",https://my.msme.gov.in/MyMsmeMob/MsmeScheme/Pages/ssub_2.html,Central
